date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,1,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,1,0,0,0,1,0,0,0
2020-03-03,0,0,1,2,2,0,2,0,0,0
2020-03-04,0,0,0,1,2,4,1,1,1,0
2020-03-05,0,0,1,0,0,1,1,0,0,0
2020-03-06,0,1,0,0,2,2,2,0,1,0
2020-03-07,0,0,0,0,3,1,0,0,0,0
2020-03-08,1,0,1,1,1,2,1,0,0,0
2020-03-09,0,0,0,0,0,1,1,2,2,0
2020-03-10,0,0,2,2,2,1,1,2,2,0
2020-03-11,0,0,2,8,1,2,3,0,0,0
2020-03-12,0,1,1,3,6,4,2,0,3,0
2020-03-13,0,0,5,3,3,1,0,4,0,0
2020-03-14,0,1,8,8,1,8,1,2,2,0
2020-03-15,0,0,1,5,4,2,3,0,0,0
2020-03-16,2,2,7,9,15,13,4,4,6,0
2020-03-17,0,0,16,7,8,15,6,3,5,0
2020-03-18,0,2,10,18,14,12,7,5,3,0
2020-03-19,0,2,6,5,17,8,8,5,3,0
2020-03-20,0,4,12,7,14,24,10,5,4,0
2020-03-21,0,2,7,4,4,10,3,2,6,1
2020-03-22,1,1,8,13,5,6,4,4,5,0
2020-03-23,1,4,17,15,11,21,8,14,5,1
2020-03-24,0,5,9,18,11,18,11,3,4,0
2020-03-25,0,3,9,14,15,17,8,6,7,0
2020-03-26,1,3,9,3,11,17,8,11,11,0
2020-03-27,0,2,15,7,18,16,10,11,10,0
2020-03-28,0,1,9,5,7,9,4,2,8,0
2020-03-29,0,2,5,3,9,3,4,3,2,0
2020-03-30,0,3,10,14,16,20,7,5,13,0
2020-03-31,0,4,12,10,20,12,11,12,15,1
2020-04-01,0,1,12,5,8,16,7,0,8,0
2020-04-02,0,0,8,11,8,11,10,0,9,0
2020-04-03,0,2,11,7,12,17,5,8,18,0
2020-04-04,0,0,10,10,7,3,3,7,20,1
2020-04-05,0,2,9,3,3,1,1,1,6,0
2020-04-06,0,2,21,8,15,17,6,5,12,0
2020-04-07,1,3,10,5,10,16,2,5,16,0
2020-04-08,0,2,10,5,7,12,4,4,17,0
2020-04-09,0,0,2,9,8,8,3,2,13,0
2020-04-10,0,2,3,5,5,4,1,5,7,0
2020-04-11,0,2,3,6,3,7,6,3,10,0
2020-04-12,0,1,2,3,1,8,1,2,4,0
2020-04-13,0,0,6,3,3,3,2,5,15,0
2020-04-14,0,1,2,7,10,10,0,3,8,0
2020-04-15,0,1,9,6,6,6,5,1,10,0
2020-04-16,1,1,5,8,2,5,3,6,12,1
2020-04-17,0,2,3,4,5,1,2,2,13,1
2020-04-18,0,0,2,2,2,1,0,0,5,0
2020-04-19,0,1,3,3,0,1,1,2,2,0
2020-04-20,0,2,8,3,5,6,5,4,3,0
2020-04-21,0,1,5,1,5,6,0,1,2,0
2020-04-22,0,1,3,1,1,1,0,1,3,0
2020-04-23,0,4,3,3,6,2,3,0,1,0
2020-04-24,0,2,2,0,2,3,2,1,2,0
2020-04-25,0,0,0,2,4,2,0,1,2,0
2020-04-26,0,0,2,2,0,1,1,0,2,0
2020-04-27,1,0,3,4,0,3,3,1,5,0
2020-04-28,0,0,2,3,2,2,0,1,5,0
2020-04-29,0,1,3,1,1,5,3,0,3,0
2020-04-30,0,1,3,2,2,2,0,0,12,0
2020-05-01,0,1,5,2,4,1,0,0,3,0
2020-05-02,0,1,2,2,3,1,0,1,0,0
2020-05-03,0,0,0,0,1,0,1,0,1,0
2020-05-04,0,0,2,1,1,3,0,0,0,0
2020-05-05,0,1,1,2,0,2,3,2,0,0
2020-05-06,0,0,1,1,0,0,0,0,2,0
2020-05-07,0,1,0,5,3,1,1,1,1,0
2020-05-08,0,1,1,1,2,3,0,2,4,0
2020-05-09,0,2,2,2,0,1,0,0,3,0
2020-05-10,0,0,0,2,0,0,0,0,1,0
2020-05-11,0,0,1,0,1,2,0,0,0,0
2020-05-12,0,0,0,1,0,2,0,0,1,0
2020-05-13,0,0,0,0,0,1,1,0,0,0
2020-05-14,0,0,0,1,0,1,0,0,1,0
2020-05-15,0,0,0,0,1,1,1,0,0,0
2020-05-16,0,0,1,0,0,0,0,0,0,0
2020-05-17,0,0,0,1,0,1,0,0,0,0
2020-05-18,0,0,0,0,1,1,1,1,1,0
2020-05-19,0,1,0,1,1,0,0,0,0,0
2020-05-20,0,0,2,0,0,1,0,1,0,0
2020-05-21,0,1,1,0,0,0,0,1,0,0
2020-05-22,0,0,0,1,0,1,0,1,0,0
2020-05-23,0,0,1,0,0,0,0,0,0,0
2020-05-24,0,0,1,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,1,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,1,0,0,0,0,0,0,0
2020-05-28,0,0,0,1,0,1,0,0,2,0
2020-05-29,0,0,0,1,0,0,0,1,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,1,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,1,0,0,0,1,1,0
2020-06-03,0,0,0,0,1,0,0,0,0,0
2020-06-04,0,1,1,0,0,1,1,0,0,0
2020-06-05,0,0,1,0,0,0,0,1,0,0
2020-06-06,1,0,0,0,0,0,0,1,0,0
2020-06-07,0,0,1,0,0,0,0,0,0,0
2020-06-08,0,0,1,1,0,1,0,0,0,0
2020-06-09,0,0,0,0,0,1,0,0,0,0
2020-06-10,0,2,0,1,0,1,0,0,0,0
2020-06-11,0,1,0,2,0,1,0,0,0,0
2020-06-12,0,1,0,0,0,1,0,0,0,0
2020-06-13,0,0,0,1,2,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,3,0,0,1,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,1,2,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,2,1,1,0
2020-06-20,0,0,2,0,2,1,1,1,0,0
2020-06-21,0,0,3,0,0,1,0,0,1,0
2020-06-22,0,1,2,1,1,1,1,0,0,0
2020-06-23,0,0,1,1,0,0,0,0,1,0
2020-06-24,0,0,1,1,0,1,0,0,0,0
2020-06-25,0,0,0,0,0,1,0,0,0,0
2020-06-26,0,1,1,2,0,1,1,0,0,0
2020-06-27,0,1,2,1,1,0,0,0,0,0
2020-06-28,0,1,0,0,0,0,0,0,0,0
2020-06-29,0,0,4,2,2,2,0,0,0,0
2020-06-30,0,2,3,2,1,1,1,0,0,0
2020-07-01,0,0,5,0,1,1,1,1,0,0
2020-07-02,0,0,3,2,1,2,2,0,0,0
2020-07-03,0,0,2,1,1,4,0,0,1,0
2020-07-04,0,0,1,0,0,0,0,0,0,0
2020-07-05,0,0,1,0,0,0,0,0,0,0
2020-07-06,0,2,4,2,0,0,1,0,0,0
2020-07-07,0,0,1,1,1,1,1,0,0,0
2020-07-08,0,1,3,1,3,1,0,1,0,0
2020-07-09,0,0,1,1,1,1,2,1,0,0
2020-07-10,0,1,4,2,0,1,2,0,0,0
2020-07-11,0,1,2,4,0,0,1,0,0,0
2020-07-12,0,0,0,0,2,0,0,0,0,0
2020-07-13,0,2,2,1,0,5,0,0,0,0
2020-07-14,0,1,0,1,1,1,0,0,0,0
2020-07-15,0,0,0,0,3,0,0,1,0,0
2020-07-16,0,0,4,0,1,0,1,1,1,0
2020-07-17,2,4,0,0,0,3,0,2,0,0
2020-07-18,0,2,2,0,2,0,1,0,1,0
2020-07-19,0,0,1,1,1,0,1,0,0,0
2020-07-20,0,0,3,3,0,0,0,1,0,0
2020-07-21,0,0,0,3,1,2,0,0,0,0
2020-07-22,0,0,0,0,1,0,1,0,0,0
2020-07-23,0,0,1,1,0,0,0,0,0,0
2020-07-24,1,0,4,1,0,1,1,2,0,0
2020-07-25,0,0,2,3,0,0,0,0,0,0
2020-07-26,0,0,2,0,0,0,0,0,0,0
2020-07-27,0,0,3,1,2,0,0,0,0,0
2020-07-28,0,1,2,1,1,2,1,0,0,0
2020-07-29,0,2,3,3,2,1,1,1,1,0
2020-07-30,0,0,4,3,1,2,3,0,0,0
2020-07-31,1,0,3,2,1,5,0,1,0,0
2020-08-01,0,0,1,1,1,0,1,0,0,0
2020-08-02,1,0,2,0,0,1,0,0,0,0
2020-08-03,0,2,6,1,2,3,1,1,0,0
2020-08-04,0,0,2,2,0,3,0,1,0,0
2020-08-05,0,2,2,2,1,2,0,0,0,0
2020-08-06,0,1,3,0,1,2,1,0,0,0
2020-08-07,0,0,2,0,0,0,0,1,1,0
2020-08-08,0,0,0,0,0,0,0,0,0,0
